Post Text,Eating Behavior
Anyone else relate? high stress = high sugar cravings. I've eaten more candy this week than I have in a year. Therapy is helping.,stress
Feeling really vulnerable sharing this but had a small piece of cake at my friend's birthday. Enjoyed it and moved on.,normal
Story time: can't eat before a presentation. Anxiety just kills my appetite completely. 💪,anxiety
Anyone else relate? under deadline stress I either don't eat at all or eat everything. Zero regulation.,stress
"Story time: can't sleep, can't eat properly. Stress is literally destroying my appetite and my health. Anyone else?",stress
My fear of food contamination makes me wash everything multiple times before I cook.,anxiety
Feeling really vulnerable sharing this but sometimes I can't eat for 24 hours because my anxiety is so bad my stomach feels like it's in knots. Open to advice.,anxiety
Grilled some salmon with roasted sweet potato for dinner. So good and filling. 😅,normal
Hot take: had a nice bowl of lentil soup for dinner. Nothing fancy but nutritious. Not okay.,normal
"Day 3 of trying to eat better and the project launch has me eating at my desk, working 12 hour days, and surviving on coffee. lol.",stress
"Honestly, feeling really in tune with my body's hunger signals lately. Eating feels natural. Trying to do better.",normal
Hot take: too stressed to cook so I've been living on vending machine snacks all week. Send help.,stress
Real talk: the uncertainty of eating out makes me want to just never go to restaurants again. One day at a time.,anxiety
"So I've been thinking... ate way too much at dinner – not because I was hungry, just because I was feeling really down. 💪",emotional
I feel sick before social events that involve food. What if I make wrong choices?,anxiety
So I've been thinking... high stress = high sugar cravings. I've eaten more candy this week than I have in a year. 🤦,stress
Update: joined an online support group for people dealing with obesity. First step is admitting I need help. 😅,obesity
Just venting but too stressed to meal prep this week. Eating random snacks and calling it a diet. It is what it is.,stress
Hot take: feeling really in tune with my body's hunger signals lately. Eating feels natural. Anyone else?,normal
"Not gonna lie, just got dumped and I've already eaten an entire tub of ice cream. Don't judge me. Working on it.",emotional
Story time: deadlines have me skipping lunch every single day this week. Not sustainable.,stress
Hot take: my colleagues are impressed by how productive I am under pressure. They don't see the midnight snacking.,stress
"throwback to last week when i eat when I'm happy, sad, bored, stressed, lonely, celebrating. Food is attached to every moment.",obesity
Joined an online support group for people dealing with obesity. First step is admitting I need help. Send help.,obesity
I rehearse what I'll order at restaurants in advance to avoid the anxiety in the moment. No shame.,anxiety
"Not gonna lie, i obsessively read ingredients labels even for foods I've eaten safely hundreds of times. Open to advice.",anxiety
Just venting but family situation at home has me completely losing my appetite. Haven't eaten a proper meal in days. Therapy is helping.,stress
Hot take: didn't finish my whole plate today. Just stopped when I was full. Progress! Anyone else?,normal
Update: high stress = high sugar cravings. I've eaten more candy this week than I have in a year. Anyone else?,stress
Feeling really vulnerable sharing this but i feel sick before social events that involve food. What if I make wrong choices?,anxiety
Anyone else relate? i feel sick before social events that involve food. What if I make wrong choices? 💪,anxiety
Day 3 of trying to eat better and i've turned down social events because of the food aspect. Easier to avoid than to cope. 🤦,anxiety
"So I've been thinking... i'm a happy eater, a sad eater, and an angry eater. Basically any emotion = eating. lol.",emotional
Emotional eating is real y'all. Ate half a cheesecake after the breakup news.,emotional
Rant incoming: i track every calorie I eat and still feel like I'm doing something wrong. The math never adds up. Just needed to share this.,anxiety
"Not gonna lie, i track every calorie I eat and still feel like I'm doing something wrong. The math never adds up. Just needed to share this.",anxiety
Story time: finally admitted to myself that I use food to cope with everything. Looking into therapy now. Not okay.,obesity
Deadlines have me skipping lunch every single day this week. Not sustainable. It is what it is.,stress
"Honestly, had a proper sit-down lunch today instead of eating at my desk. So refreshing. No shame.",normal
My therapist says my relationship with food is driven by fear. She's not wrong. Therapy is helping.,anxiety
Real talk: tried intermittent fasting for a week but realized three regular meals work better for me. One day at a time.,normal
Felt really overwhelmed today and didn't even realize I'd eaten an entire pack of biscuits.,emotional
throwback to last week when forgot to eat again today because of back-to-back meetings. Found myself dizzy at 4pm. Not okay.,stress
Story time: stress makes my stomach feel like concrete. Food is the last thing on my mind during crunch time.,stress
PSA: i inhale my food when stressed. Don't even taste it. Just fuel to keep going.,stress
Nothing fixes a bad day like a big plate of mac and cheese. Food is comfort. Send help.,emotional
"Honestly, someone at work said something hurtful and I went home and demolished a bag of cookies. 😅",emotional
Day 3 of trying to eat better and started tracking my food this week. The calorie count was eye-opening and not in a good way. Anyone else?,obesity
"Day 3 of trying to eat better and had a balanced breakfast with oats, fruits and some nuts. Feeling good! It is what it is.",normal
Real talk: my fear of choking makes every meal a stressful experience. Eating shouldn't feel like this. lol.,anxiety
Feeling empty inside so I just… kept eating. Still felt empty after. Working on it.,emotional
Someone at work said something hurtful and I went home and demolished a bag of cookies. 💪,emotional
PSA: the uncertainty of eating out makes me want to just never go to restaurants again. It is what it is.,anxiety
"Been stress eating at my desk all day. Chips, chocolate, whatever's close. Trying to do better.",stress
Rant incoming: my knees hurt every morning when I wake up. The doctor says my weight is a major factor.,obesity
Feeling really vulnerable sharing this but the clothes I bought six months ago don't fit anymore. I keep telling myself I'll lose it but I haven't. 💪,obesity
Anyone else relate? just got dumped and I've already eaten an entire tub of ice cream. Don't judge me. lol.,emotional
So I've been thinking... my BMI is 42 and my doctor is concerned about diabetes. Finally ready to commit to changing. Just needed to share this.,obesity
Too stressed to meal prep this week. Eating random snacks and calling it a diet. lol.,stress
Finally admitted to myself that I use food to cope with everything. Looking into therapy now.,obesity
Can't believe I'm posting this but my portions have been out of control for so long that I don't even know what a normal serving looks like. 🤦,obesity
PSA: just got dumped and I've already eaten an entire tub of ice cream. Don't judge me. 😅,emotional
Feeling really vulnerable sharing this but under deadline stress I either don't eat at all or eat everything. Zero regulation. It is what it is.,stress
"Honestly, deadlines have me skipping lunch every single day this week. Not sustainable. No shame.",stress
"I skip breakfast when I'm overwhelmed. It's not intentional, my brain just won't let me think about food. It is what it is.",stress
Story time: feeling empty inside so I just… kept eating. Still felt empty after. 🤦,emotional
throwback to last week when cooked a stir fry with tofu and seasonal veggies for the first time – turned out amazing! No shame.,normal
Day 3 of trying to eat better and grilled some salmon with roasted sweet potato for dinner. So good and filling. Trying to do better.,normal
So I've been thinking... work stress has me ordering takeout every night because I don't have the energy to cook. One day at a time.,stress
throwback to last week when forgot to eat again today because of back-to-back meetings. Found myself dizzy at 4pm. Just needed to share this.,stress
"Honestly, the clothes I bought six months ago don't fit anymore. I keep telling myself I'll lose it but I haven't. Open to advice.",obesity
"Not gonna lie, my knees hurt every morning when I wake up. The doctor says my weight is a major factor. 💪",obesity
"PSA: ate way too much at dinner – not because I was hungry, just because I was feeling really down. Trying to do better.",emotional
Hot take: i've been dealing with binge eating disorder for years and my weight has climbed with it. Send help.,obesity
"Not gonna lie, sleep apnea, high blood pressure, joint pain. My doctor says they're all weight-related. Open to advice.",obesity
"Update: when things feel out of control, at least I can control what I put in my mouth. Kind of backwards, I know. Send help.",emotional
Real talk: drinking more water and eating more fiber has really helped my digestion.,normal
Confession: i obsessively read ingredients labels even for foods I've eaten safely hundreds of times. Send help.,anxiety
Anyone else relate? tried a new Mediterranean recipe tonight and the whole family loved it. 💪,normal
Just venting but my doctor told me I need to lose 80 pounds. I've heard it before but this time it feels different. 😅,obesity
PSA: i have a very limited safe foods list and eating anything outside it sends me into panic. 💪,anxiety
"Update: been stress eating at my desk all day. Chips, chocolate, whatever's close. Anyone else?",stress
Feeling really vulnerable sharing this but too stressed to cook so I've been living on vending machine snacks all week. Therapy is helping.,stress
My BMI is 42 and my doctor is concerned about diabetes. Finally ready to commit to changing. Not okay.,obesity
Stress makes my stomach feel like concrete. Food is the last thing on my mind during crunch time. Anyone else?,stress
Update: forgot to eat again today because of back-to-back meetings. Found myself dizzy at 4pm. It is what it is.,stress
Update: the uncertainty of eating out makes me want to just never go to restaurants again.,anxiety
Day 3 of trying to eat better and my BMI is 42 and my doctor is concerned about diabetes. Finally ready to commit to changing. Anyone else?,obesity
"PSA: i'm a happy eater, a sad eater, and an angry eater. Basically any emotion = eating. It is what it is.",emotional
Confession: i've been dealing with binge eating disorder for years and my weight has climbed with it. Anyone else?,obesity
Rant incoming: my colleagues are impressed by how productive I am under pressure. They don't see the midnight snacking. 😅,stress
"Honestly, terrified to eat at restaurants because I don't know exactly what's in the food. 😅",anxiety
"Honestly, sometimes I can't eat for 24 hours because my anxiety is so bad my stomach feels like it's in knots. 💪",anxiety
Story time: stress makes my stomach feel like concrete. Food is the last thing on my mind during crunch time. Send help.,stress
Rant incoming: under deadline stress I either don't eat at all or eat everything. Zero regulation. 🤦,stress
"Just venting but the project launch has me eating at my desk, working 12 hour days, and surviving on coffee.",stress
"Day 3 of trying to eat better and i've tried every diet imaginable. The problem isn't willpower, it's a deep-rooted behavioral pattern. Not okay.",obesity
Deadlines have me skipping lunch every single day this week. Not sustainable. No shame.,stress
The breakup hit different at 2am when I found myself stress-eating leftover cake. Open to advice.,emotional
"Can't believe I'm posting this but i avoid grocery stores during rush hour. Too many decisions, too many people. I just can't. 🤦",anxiety
Anyone else relate? had a fight with my mom and immediately reached for the chips. Didn't even notice until the bag was empty.,emotional
"Anyone else relate? sleep apnea, high blood pressure, joint pain. My doctor says they're all weight-related. Trying to do better.",obesity
Day 3 of trying to eat better and every new food feels like a threat. I know it's irrational but I can't shake it. Anyone else?,anxiety
PSA: ate slowly today and really savored my food. Didn't need a second helping. 😅,normal
Tried to tie my shoes and realized how difficult it had become. That was my wake-up call. Just needed to share this.,obesity
Hot take: between the deadline and the meetings I forgot to eat until 7pm. Again.,stress
Ate three bowls of pasta after getting some bad news. Just needed to feel something warm.,emotional
Rant incoming: feeling really in tune with my body's hunger signals lately. Eating feels natural. Anyone else?,normal
Feeling really vulnerable sharing this but stress makes my stomach feel like concrete. Food is the last thing on my mind during crunch time. 🤦,stress
"Not gonna lie, cooked a stir fry with tofu and seasonal veggies for the first time – turned out amazing! Just needed to share this.",normal
I can't walk up a flight of stairs without getting winded. Something has to change. 🤦,obesity
I've been dealing with binge eating disorder for years and my weight has climbed with it.,obesity
"Day 3 of trying to eat better and sleep apnea, high blood pressure, joint pain. My doctor says they're all weight-related. Open to advice.",obesity
Just venting but drinking more water and eating more fiber has really helped my digestion. 💪,normal
Day 3 of trying to eat better and my cortisol must be through the roof. All I want to eat is carbs and sugar.,stress
Had a fight with my mom and immediately reached for the chips. Didn't even notice until the bag was empty. Not okay.,emotional
"Update: i eat when I'm bored, when I'm sad, when I'm happy. Food is literally my emotion regulator. Not okay.",emotional
Rant incoming: joined an online support group for people dealing with obesity. First step is admitting I need help.,obesity
"throwback to last week when ate way too much at dinner – not because I was hungry, just because I was feeling really down. Not okay.",emotional
Anyone else relate? felt really overwhelmed today and didn't even realize I'd eaten an entire pack of biscuits. Therapy is helping.,emotional
Real talk: started tracking my food this week. The calorie count was eye-opening and not in a good way.,obesity
Rant incoming: been stress eating cereal straight from the box at midnight. Not my finest hour. Just needed to share this.,stress
"Not gonna lie, had a nice bowl of lentil soup for dinner. Nothing fancy but nutritious. One day at a time.",normal
Confession: finally admitted to myself that I use food to cope with everything. Looking into therapy now. Not okay.,obesity
"Sleep apnea, high blood pressure, joint pain. My doctor says they're all weight-related. Working on it.",obesity
Just venting but high stress = high sugar cravings. I've eaten more candy this week than I have in a year. Therapy is helping.,stress
"PSA: i eat when I'm happy, sad, bored, stressed, lonely, celebrating. Food is attached to every moment. 😅",obesity
"Update: had a balanced breakfast with oats, fruits and some nuts. Feeling good!",normal
"Update: i avoid grocery stores during rush hour. Too many decisions, too many people. I just can't.",anxiety
"Day 3 of trying to eat better and been stress eating at my desk all day. Chips, chocolate, whatever's close. No shame.",stress
I have a very limited safe foods list and eating anything outside it sends me into panic. lol.,anxiety
"Not gonna lie, stress eating my way through finals week and I have zero regrets. Survival mode. Send help.",stress
Bought a scale for the first time in years. The number shocked me. Time to take this seriously. Open to advice.,obesity
Just venting but i don't eat when I'm hungry. I eat when I feel things. That's not the same. Trying to do better.,emotional
The breakup hit different at 2am when I found myself stress-eating leftover cake. Not okay.,emotional
"Not gonna lie, tried to tie my shoes and realized how difficult it had become. That was my wake-up call.",obesity
Just venting but my knees hurt every morning when I wake up. The doctor says my weight is a major factor. Open to advice.,obesity
Can't believe I'm posting this but my colleagues are impressed by how productive I am under pressure. They don't see the midnight snacking. It is what it is.,stress
The clothes I bought six months ago don't fit anymore. I keep telling myself I'll lose it but I haven't. 🤦,obesity
"Story time: cooked a proper meal today – grilled chicken, brown rice and veggies. Proud of myself! It is what it is.",normal
Can't believe I'm posting this but family situation at home has me completely losing my appetite. Haven't eaten a proper meal in days. Trying to do better.,stress
Story time: had a fight with my mom and immediately reached for the chips. Didn't even notice until the bag was empty. Just needed to share this.,emotional
I eat past fullness every single meal. It's like there's no off switch. 😅,obesity
Real talk: someone at work said something hurtful and I went home and demolished a bag of cookies.,emotional
"Not gonna lie, eating in front of people is one of my biggest triggers. I always feel judged. Not okay.",anxiety
Emotional eating is real y'all. Ate half a cheesecake after the breakup news.,emotional
Sometimes I can't eat for 24 hours because my anxiety is so bad my stomach feels like it's in knots.,anxiety
Anyone else relate? my knees hurt every morning when I wake up. The doctor says my weight is a major factor. 💪,obesity
Update: cooked a stir fry with tofu and seasonal veggies for the first time – turned out amazing!,normal
Had whole grain toast with avocado and eggs for breakfast. Classic and satisfying. Not okay.,normal
"Not gonna lie, been looking into weight loss surgery. Not taking it lightly but I feel like I've exhausted other options.",obesity
throwback to last week when i rehearse what I'll order at restaurants in advance to avoid the anxiety in the moment. lol.,anxiety
PSA: binge ate last night after a really rough week. Feeling ashamed but also kind of numb.,emotional
Confession: i inhale my food when stressed. Don't even taste it. Just fuel to keep going.,stress
So I've been thinking... didn't finish my whole plate today. Just stopped when I was full. Progress! No shame.,normal
"Anyone else relate? i skip breakfast when I'm overwhelmed. It's not intentional, my brain just won't let me think about food.",stress
Stress makes my stomach feel like concrete. Food is the last thing on my mind during crunch time. 🤦,stress
Update: been stress eating cereal straight from the box at midnight. Not my finest hour.,stress
Day 3 of trying to eat better and family situation at home has me completely losing my appetite. Haven't eaten a proper meal in days.,stress
"Honestly, forgot to eat again today because of back-to-back meetings. Found myself dizzy at 4pm. 💪",stress
Real talk: just got dumped and I've already eaten an entire tub of ice cream. Don't judge me.,emotional
Anyone else relate? my fear of choking makes every meal a stressful experience. Eating shouldn't feel like this. One day at a time.,anxiety
Update: just got dumped and I've already eaten an entire tub of ice cream. Don't judge me. Working on it.,emotional
"Sleep apnea, high blood pressure, joint pain. My doctor says they're all weight-related. Anyone else?",obesity
"Not gonna lie, listening to my hunger cues more lately. Only eating when I'm actually hungry.",normal
Hot take: my relationship with food has been toxic for decades. Therapy has helped me start to unpack it. Therapy is helping.,obesity
Day 3 of trying to eat better and when I'm stressed I either eat everything or eat nothing. No in between. Working on it.,stress
"Not gonna lie, too stressed to cook so I've been living on vending machine snacks all week. 💪",stress
"Honestly, i avoid grocery stores during rush hour. Too many decisions, too many people. I just can't.",anxiety
"Hot take: been stress eating at my desk all day. Chips, chocolate, whatever's close.",stress
"Not gonna lie, can't eat before a presentation. Anxiety just kills my appetite completely. Send help.",anxiety
Been looking into weight loss surgery. Not taking it lightly but I feel like I've exhausted other options. Trying to do better.,obesity
"Not gonna lie, i've turned down social events because of the food aspect. Easier to avoid than to cope. No shame.",anxiety
"Feeling really vulnerable sharing this but cooked a proper meal today – grilled chicken, brown rice and veggies. Proud of myself! Just needed to share this.",normal
Hot take: food is the only thing that doesn't let me down. I know that's unhealthy to say.,emotional
"Not gonna lie, can't sleep, can't eat properly. Stress is literally destroying my appetite and my health. Anyone else?",stress
Story time: i track every calorie I eat and still feel like I'm doing something wrong. The math never adds up. No shame.,anxiety
throwback to last week when i spend hours planning meals because the idea of eating something unplanned sends me into a spiral.,anxiety
Feeling really vulnerable sharing this but tried a new Mediterranean recipe tonight and the whole family loved it. lol.,normal
Rant incoming: had a proper sit-down lunch today instead of eating at my desk. So refreshing. 💪,normal
Just venting but the uncertainty of eating out makes me want to just never go to restaurants again. No shame.,anxiety
Confession: snacked on an apple and some almonds between meetings. Felt great.,normal
"So I've been thinking... sleep apnea, high blood pressure, joint pain. My doctor says they're all weight-related.",obesity
"Had a balanced breakfast with oats, fruits and some nuts. Feeling good!",normal
"Made smoothies with spinach, banana and almond milk all week. Feeling energetic.",normal
Feeling really vulnerable sharing this but i obsessively read ingredients labels even for foods I've eaten safely hundreds of times. Not okay.,anxiety
I track every calorie I eat and still feel like I'm doing something wrong. The math never adds up. 🤦,anxiety
So I've been thinking... been looking into weight loss surgery. Not taking it lightly but I feel like I've exhausted other options. 🤦,obesity
PSA: i inhale my food when stressed. Don't even taste it. Just fuel to keep going. Anyone else?,stress
Just venting but ate a whole pizza by myself after getting rejected from that job. Needed it. 😅,emotional
"Rant incoming: i eat when I'm happy, sad, bored, stressed, lonely, celebrating. Food is attached to every moment. 😅",obesity
Too stressed to cook so I've been living on vending machine snacks all week.,stress
Confession: been skipping lunch at work because eating in front of people makes me extremely anxious. Send help.,anxiety
Rant incoming: joined an online support group for people dealing with obesity. First step is admitting I need help. Therapy is helping.,obesity
So I've been thinking... had a fight with my mom and immediately reached for the chips. Didn't even notice until the bag was empty. Working on it.,emotional
Feeling really vulnerable sharing this but grilled some salmon with roasted sweet potato for dinner. So good and filling. It is what it is.,normal
Feeling really vulnerable sharing this but my fear of food contamination makes me wash everything multiple times before I cook. Anyone else?,anxiety
"Can't believe I'm posting this but cooked a proper meal today – grilled chicken, brown rice and veggies. Proud of myself!",normal
The clothes I bought six months ago don't fit anymore. I keep telling myself I'll lose it but I haven't. Just needed to share this.,obesity
"So I've been thinking... when things feel out of control, at least I can control what I put in my mouth. Kind of backwards, I know. Working on it.",emotional
Stress makes my stomach feel like concrete. Food is the last thing on my mind during crunch time. It is what it is.,stress
Confession: the uncertainty of eating out makes me want to just never go to restaurants again. Anyone else?,anxiety
I reward myself with food when things go well and comfort myself with food when they don't.,emotional
Rant incoming: can't eat before a presentation. Anxiety just kills my appetite completely.,anxiety
Anyone else relate? i feel sick before social events that involve food. What if I make wrong choices?,anxiety
throwback to last week when high stress = high sugar cravings. I've eaten more candy this week than I have in a year.,stress
Rant incoming: when I'm stressed I either eat everything or eat nothing. No in between. Trying to do better.,stress
throwback to last week when the uncertainty of eating out makes me want to just never go to restaurants again. No shame.,anxiety
Confession: work stress has me ordering takeout every night because I don't have the energy to cook.,stress
Feeling really vulnerable sharing this but forgot to eat again today because of back-to-back meetings. Found myself dizzy at 4pm.,stress
Been stress eating cereal straight from the box at midnight. Not my finest hour. Therapy is helping.,stress
Just venting but feeling empty inside so I just… kept eating. Still felt empty after. lol.,emotional
"When things feel out of control, at least I can control what I put in my mouth. Kind of backwards, I know. It is what it is.",emotional
Rant incoming: my fear of choking makes every meal a stressful experience. Eating shouldn't feel like this.,anxiety
So I've been thinking... started tracking my food this week. The calorie count was eye-opening and not in a good way. No shame.,obesity
So I've been thinking... i feel sick before social events that involve food. What if I make wrong choices? It is what it is.,anxiety
PSA: too stressed to meal prep this week. Eating random snacks and calling it a diet. Not okay.,stress
Rant incoming: binge ate last night after a really rough week. Feeling ashamed but also kind of numb.,emotional
Feeling really vulnerable sharing this but every time I feel lonely I just go to the fridge. It's become automatic at this point. 😅,emotional
Story time: stress eating my way through finals week and I have zero regrets. Survival mode. 😅,stress
Real talk: i've been dealing with binge eating disorder for years and my weight has climbed with it. One day at a time.,obesity
"Honestly, been stress eating at my desk all day. Chips, chocolate, whatever's close. Therapy is helping.",stress
Can't believe I'm posting this but cooked a stir fry with tofu and seasonal veggies for the first time – turned out amazing!,normal
My BMI is 42 and my doctor is concerned about diabetes. Finally ready to commit to changing. Just needed to share this.,obesity
So I've been thinking... drinking more water and eating more fiber has really helped my digestion. 💪,normal
Food is the only thing that doesn't let me down. I know that's unhealthy to say. Just needed to share this.,emotional
I feel sick before social events that involve food. What if I make wrong choices? 🤦,anxiety
